# 코워크 10차 통합본(2026-09-22) clips — 클립 단위 통째 교체
# 손으로 적지 않았다. 코워크_10차_통합본_20260922.json 의 clips 에서 뽑았다.
# ★33·34·35(하객 서약)은 뺐다 — 2026-09-20 사장님 지시로 폐지한 갈래다([ASK_RETIRED]).
#   「그부분 삭제하자 않될거같아 ai성우라서 한계가잇어 자연스럽지못해」
#   제거 지시 보존 규칙: 되살리지 않고 사장님께 올린다.
# ★43_parents-letter 는 뺐다 — 10차가 48«문장»으로 쪼갰는데 생성기는 9«문단»이다.
#   문단 나눔에 뜻이 있고(「하나, 갖출 것은…」 번호 매긴 절), 같은 글이 고객 화면
#   parents.html 에도 있어 화면과 낭독이 함께 가야 한다. 따로 본다.
# ★폐지 클립(empty)도 뺐다 — RETIRED 로 다루는 일이지 문면 교체가 아니다.
20_narr-letter-end	우성	그 편지는 받으신 분이 간직하십니다. 낭독을 마친 두 사람에게, 따뜻한 박수를 보내 주시기 바랍니다.	편지는 받으신 분이 간직하십니다. 방금 그 마음에, 따뜻한 박수를 보내 주세요.
22_narr-bless-open	우성	오늘 예식의 문을, 두 사람을 가장 오래 지켜봐 오신 부모님의 말씀으로 열겠습니다. 마이크를 받으시면 편히 말씀해 주십시오.	서약의 문을, 두 사람을 가장 오래 지켜봐 오신 부모님의 말씀으로, 열겠습니다. 이제, 편히 들려주십시오.
23_narr-bless-mid	우성	이제 두 사람을 가장 오래 지켜봐 오신 부모님께 한 말씀 청하겠습니다. 마이크를 받으시면 편히 말씀해 주십시오.	이제 두 사람을 아껴 오신 부모님께, 덕담을 청하겠습니다. 편히 말씀해 주십시오.
24_narr-bless-end	우성	방금 그 말씀으로, 오늘이 두 사람에게 더 특별한 날이 되었습니다. 부모님께 감사의 박수를 부탁드립니다.	방금 그 말씀으로, 이 예식이 더욱 특별해졌습니다. 부모님께 감사의 박수를 부탁드립니다.
25_narr-bless-end-long	우성	하고 싶은 말씀을 다 하신 분은 아마 안 계실 겁니다. 못 하신 말씀은 두 사람이 살면서 듣겠습니다.	하고 싶은 말씀을 다 하신 분은 아마 안 계실 겁니다. 못 하신 말씀은 두 사람이 살면서 듣겠습니다. 부모님께 감사의 박수를 부탁드립니다.
27_letter-parent	우성	쑥스러워 말로는 다 못 한 이야기를, 두 사람이 부모님께 편지로 써 왔습니다. 두 분, 직접 읽어 드리시면 됩니다.	평소엔 쑥스러워 다 못 한 이야기를, 한 장의 편지에 담았습니다. 그 편지를, 부모님께 들려 드리세요.
28_letter-each	우성	두 사람이 서로에게 쓴 편지입니다. 매일 보는 사이라, 오히려 못 한 말이 담겼습니다. 두 분, 마주 보고 읽어 주시면 됩니다.	가장 가까운 사이라서, 오히려 한 번도 못 한 말이 있습니다. 그 말을, 서로에게 쓴 편지에 담아 왔습니다. 두 분, 마주 보고 전해 주세요.
29_letter-both	우성	편지가 두 번 이어집니다. 부모님께 먼저, 그리고 서로에게. 두 분, 차례로 읽어 주시면 됩니다.	신랑 신부가 편지를 써 왔습니다. 부모님께 먼저, 그리고 서로에게. 두 분, 차례로 전해 주세요.
38_tribute-in	우성	두 사람을 키워 주신 분들이 앞에 계십니다. 두 분, 천천히 걸음을 옮겨 주십시오. 인사를 올리는 동안, 하객 여러분께서도 조용히 함께해 주시기 바랍니다.	두 사람을 키워 주신 분들이 앞에 계십니다. 신랑 신부, 천천히 걸음을 옮겨 주십시오. 인사를 올리는 동안, 하객 여러분께서도 조용히 함께해 주시면 감사하겠습니다.
39_tribute-out	우성	오늘로 두 집안은 한 가족입니다.	오늘로 두 집안은 한 가족입니다. 양가 어른들께, 따뜻한 박수를 보내 주시면 좋겠습니다.
05_entry-A	우성	두 사람은 오늘까지 서로 다른 길을 걸어왔습니다. 그 두 길이 지금 여기서 하나가 됩니다. 하객 여러분, 따뜻한 박수로 맞아 주시기 바랍니다. 신랑 신부, 입장!	저 문 너머에서, 두 사람도 이 순간을 기다리고 있습니다. 오늘까지 서로 다른 길을 걸어왔지만, 그 두 길이 여기서 하나로 이어집니다. 하객 여러분, 따뜻한 박수로 맞이해 주시면 감사하겠습니다. 신랑 신부, 입장!
06_entry-B	우성	모두가 기다려 온 순간입니다. 여기 모인 마음을 담아, 큰 박수 부탁드립니다. 신랑 신부, 입장!	드디어, 시작입니다. 여기 계신 모든 분, 큰 박수 부탁드립니다. 신랑 신부, 입장!
07_entry-C	우성	귀한 걸음 해 주신 여러분 앞으로, 두 사람이 들어옵니다. 따뜻한 박수로 맞아 주십시오. 신랑 신부, 입장!	귀한 걸음 해 주신 여러분 앞으로, 두 사람이 들어옵니다. 박수로 반겨 주시면 감사하겠습니다. 신랑 신부, 입장!
08_entry-D	우성	여러 해를 지나, 두 사람이 서로에게 닿았습니다. 오늘, 새로운 문이 열립니다. 따뜻한 박수로 그 처음을 맞아 주시기 바랍니다. 신랑 신부, 입장!	봄이 몇 번, 겨울이 몇 번 지나서야 이 하루가 왔습니다. 그 시간을 아시는 여러분이, 박수로 맞아 주시면 감사하겠습니다. 신랑 신부, 입장!
09_entry-E	우성	부모님께는 여전히 아이 같은 두 사람이, 어른의 약속을 하러 들어옵니다. 오늘은 어른으로 맞아 주시기 바랍니다. 신랑 신부, 입장!	부모님께는 여전히 아이 같은 두 사람이, 어른의 약속을 하러 들어옵니다. 오늘만큼은 어른으로 맞아 주시고, 박수를 보내 주시면 감사하겠습니다. 신랑 신부, 입장!
10_entry-F	우성	각자 써 내려온 두 권의 이야기가, 오늘 한 권으로 묶입니다. 그 첫 장을 큰 박수로 함께 열어 주시기 바랍니다. 신랑 신부, 입장!	각자 써 내려온 두 권의 이야기가, 오늘 한 권으로 묶입니다. 그 첫 장을, 큰 박수로 열어 주시면 감사하겠습니다. 신랑 신부, 입장!
81_narr-entry-out-D	우성	오래 걸어온 길의, 마지막 몇 걸음이었습니다. 잠시, 서로를 바라봐 주세요.	그 계절을 다 건너, 두 사람이 이 자리에 닿았습니다. 잠시, 서로를 바라봐 주세요.
82_narr-entry-out-E	우성	두 사람 곁에는, 늘 누군가 있었습니다. 잠시, 서로를 바라봐 주세요.	고마운 분들 덕분에, 두 사람이 여기까지 왔습니다. 잠시, 서로를 바라봐 주세요.
83_narr-entry-out-F	우성	오늘부터는 한 사람의 이야기가 아닙니다. 잠시, 서로를 바라봐 주세요.	오늘부터는 혼자 쓰는 이야기가 아닙니다. 잠시, 서로를 바라봐 주세요.
13_narr-vow-in	우성	두 사람이 서로에게 할 약속이 있습니다. 두 분, 서로를 향해 한 걸음만 가까이 서시면 됩니다. 오래 다듬어 온 말입니다. 신랑님부터 시작하시겠습니다.	오늘을 위해 두 사람이 몇 번이고 고쳐 쓴 말이 있습니다. 이제 그 말이, 서로에게 닿을 차례입니다. 두 분, 한 걸음씩 다가서 주세요. 신랑부터 시작하겠습니다.
14_narr-vow-out	우성	약속은 말로 끝나지 않습니다. 오늘부터 두 사람이 그 약속을 살아갑니다.	약속은 말로 끝나지 않습니다. 두 사람의 삶으로 이어집니다.
15_narr-ring-in	우성	반지는 날마다 이 순간을 떠올리게 합니다. 서로의 손에 반지를 끼워 주시면 됩니다. 말없이 지나가는 순서이니, 그대로 보고 계셔도 좋습니다.	반지는 날마다 이 순간을 떠올리게 해 줄 거예요. 서로의 손에 반지를 끼워 주시면 됩니다. 말없이 지나가는 순서이니, 그대로 함께 봐 주세요.
16_narr-ring-out	우성	이제 두 분 손에 같은 것이 하나씩 생겼습니다. 축하의 박수를 청합니다.	두 분 손에 같은 것이 하나씩 생겼습니다. 오래 기억되도록, 박수를 부탁드립니다.
21_narr-declare-family-intro	우성	두 사람의 성혼을, 오늘은 가족께서 선언하십니다. 준비되시면 그대로 읽어 주십시오.	두 사람의 성혼은, 가족께서 선언하십니다. 준비되시면 그대로 읽어 주십시오.
