# 코워크 열다섯째 판 §2 「갈 문면」 — 클립 단위 통째 교체
# 손으로 적은 것이 아니라 전달문 표에서 뽑았다. 열: 번호_슬러그 · 층 · 지금문면 · 갈문면
# ★33_declare-ask-a 는 뺐다 — 2026-09-20 [ASK_RETIRED] 로 폐지한 클립이다.
# ★12_narr-welcome-out 도 뺐다 — 표의 「갈 문면」이 «✂️ 폐지(큐째로)»라 문장이 아니다.
#   그대로 쓰면 그 글자가 소스에 박힌다. 그리고 12 는 이미 2026-09-20 [WELCOME_OUT_DROP] 으로 폐지됐다.
01_guest-1-arrival	narration	두 사람의 예식에 와 주셔서 감사합니다. 자리는 두 사람이 한 분 한 분 생각하며 정했고, 미리 받으신 안내 페이지에서 확인하실 수 있습니다. 자리를 못 찾으시면 입구 쪽에서 안내해 드립니다.	두 사람의 결혼식을 찾아 주셔서 감사드립니다. 앉으실 자리는 두 사람이 한 분 한 분을 떠올리며 마련했습니다. 미리 받으신 안내 페이지에서 확인하실 수 있고, 찾기 어려우시면 입구에서 도와드리겠습니다. 기다리시는 동안, 편안히 머물러 주십시오.
03_guest-3-5min	narration	예식 시작 오 분 전입니다. 아직 서 계신 분들은, 이제 자리에 앉아 주시면 감사하겠습니다.	예식 시작 오 분 전입니다. 반가운 인사는 잠시 미루시고, 이제 자리에 앉아 주십시오.
04_guest-4-1min	narration	곧 예식이 시작됩니다. 오늘 예식은 미리 준비한 안내 음성으로 진행합니다. 순서도 이 안내도, 두 사람이 정했습니다. 휴대폰 소리는 잠시 꺼 주시기 바랍니다. 사진은 편히 남기셔도 좋습니다.	곧 예식이 시작됩니다. 오늘 예식은 미리 준비한 안내 음성으로 진행합니다. 순서도, 이 목소리도, 두 사람이 정했습니다. 휴대폰 소리는 잠시 꺼 주시기 바랍니다. 사진은 편히 남기셔도 좋습니다. 이제, 두 사람을 기다리겠습니다.
48_online-3-welcome	narration	화면으로 보고 계신 분들, 반갑습니다. 이 하루를, 두 사람은 여러분과도 나누고 싶었습니다. 같은 시간에 계신 것으로 충분합니다.	화면으로 보고 계신 분들, 반갑습니다. 이 하루를, 두 사람은 여러분과도 나누고 싶었습니다. 같은 시간에 계신 것만으로 충분합니다.
01_guest-1	cast	저희 두 사람의 예식에 와 주셔서 감사합니다. 자리는 저희가 한 분 한 분 생각하며 정했어요. 미리 받으신 안내 페이지에서 확인하실 수 있어요. 자리를 못 찾으시면 입구 쪽에서 안내해 드려요.	저희 두 사람의 결혼식에 와 주셔서 감사합니다. 앉으실 자리는 저희가 한 분 한 분 떠올리며 정했어요. 미리 받으신 안내 페이지에서 확인하실 수 있어요. 자리 찾기가 어려우시면, 입구에서 도와드려요.
04_guest-4	cast	곧 저희 예식이 시작됩니다. 오늘 예식은 미리 준비한 안내 음성으로 진행돼요. 순서도 이 안내도, 저희가 정했어요. 휴대폰 소리는 잠시 꺼 주시면 됩니다. 사진은 편히 남기셔도 좋아요.	곧 저희 예식이 시작됩니다. 오늘 예식은 미리 준비한 안내 음성으로 진행돼요. 순서도, 이 목소리도, 저희가 정했어요. 휴대폰 소리는 잠시 꺼 주시면 됩니다. 사진은 편히 남기셔도 좋아요. 조금 뒤에 뵐게요.
05_entry-A	narration	두 사람은 오늘까지 서로 다른 길을 걸어왔습니다. 그 두 길이 지금 여기서 하나가 됩니다. 모두 따뜻한 박수로 맞아 주시기 바랍니다. 신랑 신부, 입장!	두 사람은 오늘까지 서로 다른 길을 걸어왔습니다. 그 두 길이 지금 여기서 하나가 됩니다. 하객 여러분, 따뜻한 박수로 맞아 주시기 바랍니다. 신랑 신부, 입장!
06_entry-B	narration	기다리던 순간입니다. 여기 모인 마음을 모두 담아, 큰 박수 부탁드립니다. 신랑 신부, 입장!	모두가 기다려 온 순간입니다. 여기 모인 마음을 담아, 큰 박수 부탁드립니다. 신랑 신부, 입장!
08_entry-D	narration	여러 해가 걸려 두 사람이 서로에게 닿았습니다. 오늘 그 문이 열립니다. 따뜻한 박수로 그 처음을 맞아 주시기 바랍니다. 신랑 신부, 입장!	여러 해를 지나, 두 사람이 서로에게 닿았습니다. 오늘, 새로운 문이 열립니다. 따뜻한 박수로 그 처음을 맞아 주시기 바랍니다. 신랑 신부, 입장!
10_entry-F	narration	각자 써 내려온 이야기가 있습니다. 그 두 권이 오늘 한 권으로 묶입니다. 첫 장을 큰 박수로 함께 열어 주시기 바랍니다. 신랑 신부, 입장!	각자 써 내려온 두 권의 이야기가, 오늘 한 권으로 묶입니다. 그 첫 장을 큰 박수로 함께 열어 주시기 바랍니다. 신랑 신부, 입장!
